sk_tiempo,sk_evento,distinct_id,cantidad_eventos
939,5,5353,1
939,5,5471,1
939,5,5495,2
939,5,5556,3
939,2,019b9f62-b945-7de0-800b-d28e97f2c20e,2
939,2,019bbaaf-2a30-7ad6-9072-56fa20fa79ee,1
939,2,019bbab0-eb03-7db8-8381-112e1557f42f,3
939,2,019d1d4b-80af-7605-99ef-9235d3228d50,1
939,2,019e554c-2415-7586-9a66-2236fb11535d,1
939,2,019e9e25-05c2-74d1-b5ab-2503c0061713,3
939,2,019e9eeb-e67f-7332-8d2d-7e39a73cf3d3,2
939,2,1045,2
939,2,1087,3
939,2,1124,1
939,2,1165,2
939,2,1429,2
939,2,2025,5
939,2,2080,3
939,2,2179,6
939,2,2443,12
939,2,2456,4
939,2,2728,2
939,2,2907,2
939,2,3370,1
939,2,3457,2
939,2,3462,4
939,2,3636,5
939,2,3864,8
939,2,3874,3
939,2,4042,22
939,2,4048,5
939,2,4099,9
939,2,4219,2
939,2,4425,3
939,2,4637,15
939,2,4945,32
939,2,5101,3
939,2,5147,12
939,2,5152,1
939,2,5171,13
939,2,5209,6
939,2,5246,3
939,2,5261,6
939,2,5335,16
939,2,5353,5
939,2,5374,1
939,2,5471,2
939,2,5495,7
939,2,5556,5
939,47,2443,3
939,36,2025,2
939,36,2179,46
939,36,4042,1
939,36,5261,3
939,36,5301,7
939,40,4042,2
939,14,1045,1
939,14,3216,1
939,14,4042,4
939,14,4637,2
939,14,4945,1
939,14,5471,1
939,41,3864,1
939,41,5261,3
939,20,1429,2
939,20,4945,1
939,43,4099,3
939,43,5171,1
939,34,1045,1
939,34,2443,2
939,34,3457,1
939,34,3874,1
939,34,5209,10
939,34,5495,1
939,30,2025,2
939,30,2179,1
939,30,4042,3
939,30,4099,11
939,30,4153,2
939,30,5101,1
939,30,5171,4
939,30,5246,1
939,30,5261,1
939,29,2443,1
939,29,3864,2
939,29,4637,1
939,29,5101,1
939,29,5171,2
939,29,5246,1
939,28,2443,1
939,28,3864,2
939,28,4637,1
939,28,5101,1
939,28,5171,2
939,28,5246,1
939,10,3636,1
939,10,5147,2
939,10,5335,2
939,11,4637,2
939,7,3636,1
939,7,5147,1
939,7,5335,3
939,9,3636,1
939,9,4637,1
939,9,5147,3
939,9,5335,6
939,45,5171,1
939,48,2907,1
939,37,5471,1
939,44,2907,1
939,44,5354,1
939,1,2443,9
939,15,1045,1
939,15,1087,1
939,15,1429,1
939,15,2025,2
939,15,2080,2
939,15,2443,5
939,15,2728,1
939,15,3457,1
939,15,3601,3
939,15,3864,4
939,15,3874,2
939,15,4042,1
939,15,4425,1
939,15,4637,2
939,15,4945,5
939,15,5101,1
939,15,5147,1
939,15,5171,2
939,15,5209,10
939,15,5246,2
939,15,5261,1
939,15,5301,9
939,15,5335,1
939,15,5471,1
939,15,5556,2
939,42,3457,3
939,19,1429,2
939,19,4945,1
939,35,2025,4
939,35,3864,2
939,35,4042,5
939,35,5246,5
939,35,5261,5
939,35,5301,7
939,33,4048,1
939,32,4048,4
939,39,5261,1
939,46,4425,2
939,24,3873,1
939,24,4637,1
939,18,1429,1
939,18,2080,1
939,18,2443,1
939,18,2728,1
939,18,3457,1
939,18,3874,1
939,18,4637,3
939,18,5101,1
939,18,5147,1
939,18,5209,1
939,18,5335,1
939,18,5353,1
939,25,019bbab0-eb03-7db8-8381-112e1557f42f,1
939,25,019e554c-2415-7586-9a66-2236fb11535d,1
939,25,4637,3
939,26,4637,3
939,27,019b9f62-b945-7de0-800b-d28e97f2c20e,1
939,27,019bbab0-eb03-7db8-8381-112e1557f42f,1
939,27,019e554c-2415-7586-9a66-2236fb11535d,1
939,27,019e9e25-05c2-74d1-b5ab-2503c0061713,1
939,27,019e9e50-cce1-70a3-8320-2e5818e104db,1
939,27,019e9eeb-e67f-7332-8d2d-7e39a73cf3d3,1
939,27,4637,3
