sk_cliente,sk_pais,sk_estado_cliente,sk_tiempo_cliente_desde,mrr,arr,cantidad_cliente,flag_cliente_pago,flag_activo,flag_cancelado,flag_past_due,riesgo_churn
277,4.0,2,771.0,29167.0,350004.0,1,1,1,0,0,Bajo
278,3.0,2,773.0,30000.0,360000.0,1,1,1,0,0,Bajo
279,3.0,2,774.0,29167.0,350004.0,1,1,1,0,0,Bajo
280,4.0,2,774.0,25000.0,300000.0,1,1,1,0,0,Bajo
281,11.0,2,778.0,25000.0,300000.0,1,1,1,0,0,Bajo
282,4.0,3,781.0,25000.0,300000.0,1,1,0,0,1,Alto
283,8.0,2,782.0,29167.0,350004.0,1,1,1,0,0,Bajo
284,1.0,1,782.0,0.0,0.0,1,0,0,1,0,Churned
285,8.0,2,784.0,25000.0,300000.0,1,1,1,0,0,Bajo
286,1.0,2,789.0,30000.0,360000.0,1,1,1,0,0,Bajo
287,7.0,2,790.0,45000.0,540000.0,1,1,1,0,0,Bajo
288,4.0,2,794.0,33333.0,399996.0,1,1,1,0,0,Bajo
289,3.0,2,795.0,37500.0,450000.0,1,1,1,0,0,Bajo
290,1.0,1,797.0,0.0,0.0,1,0,0,1,0,Churned
291,4.0,2,798.0,40000.0,480000.0,1,1,1,0,0,Bajo
292,1.0,2,804.0,33333.0,399996.0,1,1,1,0,0,Bajo
293,3.0,2,806.0,35000.0,420000.0,1,1,1,0,0,Bajo
294,1.0,2,808.0,41667.0,500004.0,1,1,1,0,0,Bajo
295,3.0,2,809.0,41667.0,500004.0,1,1,1,0,0,Bajo
296,3.0,3,809.0,50000.0,600000.0,1,1,0,0,1,Alto
297,3.0,2,811.0,30000.0,360000.0,1,1,1,0,0,Bajo
298,1.0,2,812.0,35000.0,420000.0,1,1,1,0,0,Bajo
299,3.0,1,813.0,0.0,0.0,1,0,0,1,0,Churned
300,4.0,3,817.0,40000.0,480000.0,1,1,0,0,1,Alto
301,3.0,1,817.0,0.0,0.0,1,0,0,1,0,Churned
302,3.0,1,819.0,0.0,0.0,1,0,0,1,0,Churned
303,6.0,2,825.0,45000.0,540000.0,1,1,1,0,0,Bajo
