name,label,type,fieldType
hs_v2_cumulative_time_in_salesqualifiedlead,"Cumulative time in ""SQL (Lifecycle Stage Pipeline)""",number,number
hs_v2_date_entered_current_stage,Date entered current stage,datetime,calculation_equation
hs_v2_date_entered_customer,"Date entered ""Cliente (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_entered_lead,"Date entered ""Lead (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_entered_marketingqualifiedlead,"Date entered ""MQL (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_entered_opportunity,"Date entered ""Oportunidad (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_entered_other,"Date entered ""Otra (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_entered_salesqualifiedlead,"Date entered ""SQL (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_exited_customer,"Date exited ""Cliente (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_exited_lead,"Date exited ""Lead (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_exited_marketingqualifiedlead,"Date exited ""MQL (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_exited_opportunity,"Date exited ""Oportunidad (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_exited_other,"Date exited ""Otra (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_date_exited_salesqualifiedlead,"Date exited ""SQL (Lifecycle Stage Pipeline)""",datetime,date
hs_v2_latest_time_in_customer,"Latest time in ""Cliente (Lifecycle Stage Pipeline)""",number,number
hs_v2_latest_time_in_lead,"Latest time in ""Lead (Lifecycle Stage Pipeline)""",number,number
hs_v2_latest_time_in_marketingqualifiedlead,"Latest time in ""MQL (Lifecycle Stage Pipeline)""",number,number
hs_v2_latest_time_in_opportunity,"Latest time in ""Oportunidad (Lifecycle Stage Pipeline)""",number,number
hs_v2_latest_time_in_other,"Latest time in ""Otra (Lifecycle Stage Pipeline)""",number,number
hs_v2_latest_time_in_salesqualifiedlead,"Latest time in ""SQL (Lifecycle Stage Pipeline)""",number,number
